
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                          Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                       139.4      1.049   0.005007   0.003593 9.07E-009 6.509E-009
g2100sn7200_n312429_sec        0.2836      1.023   0.001204     0.4244 0.0009006    0.3176
g2100so3700_n312462_sec        0.2431      1.015          0          0         0         0
g2100sp2100_n312536_sec         0.237     0.9891          0          0         0         0
g2100tm2800_n312419_sec_a      0.2443      1.019          0          0         0         0
g2100tm3900_n312419_sec        0.2836      1.023   0.001204     0.4244 0.0009007    0.3176
g2100to1000_n312424_sec        0.2379      0.993          0          0         0         0
g2100to3200_n312445_sec        0.2807      1.013   0.001203     0.4287 0.0009109    0.3245
g2101ab4600_n283913_sec        0.2438      1.017          0          0         0         0
g2101ac1300_n283976_sec         0.244      1.018          0          0         0         0
g2101ac2700_n284001_sec        0.2428      1.014          0          0         0         0
g2101ac8300_n283970_sec        0.2441      1.019          0          0         0         0
g2101ac8800_n283998_sec        0.2443      1.019          0          0         0         0
g2101ac9800_n283938_sec        0.2438      1.018          0          0         0         0
g2101ae2300_n284045_sec        0.2436      1.017          0          0         0         0
g2101ae2700_n284060_sec        0.2437      1.017          0          0         0         0
g2101ae2800_n284062_sec        0.2456      1.025          0          0         0         0
g2101af2800_n284107_sec        0.2451      1.023          0          0         0         0
g2101ag2000_n284124_sec        0.2457      1.025          0          0         0         0
g2101ag2300_n284123_sec        0.2449      1.022          0          0         0         0
g2101ah3200_n284153_sec        0.2463      1.028          0          0         0         0
g2101ah4300_n284128_sec        0.2458      1.026          0          0         0         0
g2101ah5300_n284154_sec        0.2465      1.029          0          0         0         0
g2101ai2000_n284180_sec        0.2446      1.021          0          0         0         0
g2101ai5400_n284188_sec        0.2459      1.026          0          0         0         0
g2101aj7700_n284211_sec        0.2408      1.005          0          0         0         0
g2101ak7700_n284223_sec        0.2404      1.003          0          0         0         0
g2101al8800_n284268_sec        0.2411      1.006          0          0         0         0
g2101ba6700_n283900_sec        0.2424      1.012          0          0         0         0
g2101bb3500_n283890_sec        0.2393     0.9987          0          0         0         0
g2101bc6900_n283995_sec        0.2438      1.017          0          0         0         0
g2101bc7200_n283931_sec        0.2372       0.99          0          0         0         0
g2101bc8800_n283993_sec        0.2441      1.019          0          0         0         0
g2101bd1200_n284013_sec        0.2444       1.02          0          0         0         0
g2101bd4700_n284017_sec        0.2409      1.005          0          0         0         0
g2101bd7000_n283957_sec         0.244      1.019          0          0         0         0
g2101be0100_n284030_sec        0.2456      1.025          0          0         0         0
g2101bg0000_n284108_sec        0.2461      1.027          0          0         0         0
g2101bg6300_n284111_sec        0.2465      1.029          0          0         0         0
g2101bg6500_n284112_sec        0.2459      1.026          0          0         0         0
g2101bg9000_n284109_sec        0.2428      1.013          0          0         0         0
g2101bh1300_n284164_sec        0.2459      1.026          0          0         0         0
g2101bi4200_n284183_sec        0.2452      1.023          0          0         0         0
g2101bj2000_n284211_sec        0.2409      1.005          0          0         0         0
g2101bk9800_n284234_sec        0.2409      1.006          0          0         0         0
g2101bl8500_n284244_sec          0.24      1.002          0          0         0         0
g2101bm0000_n284274_sec        0.2416      1.008          0          0         0         0
g2101bm2600_n284287_sec        0.2421       1.01          0          0         0         0
g2101bm6500_n284282_sec        0.2409      1.005          0          0         0         0
g2101bm6600_n284296_sec        0.2421      1.011          0          0         0         0
g2101bn4800_n284308_sec        0.2427      1.013          0          0         0         0
g2101ca2900_n283939_sec        0.2424      1.012          0          0         0         0
g2101cb3400_n283931_sec        0.2407      1.004          0          0         0         0
g2101cb7700_n283923_sec        0.2398      1.001          0          0         0         0
g2101cc0600_n283951_sec         0.244      1.019          0          0         0         0
g2101cc3700_n283974_sec        0.2438      1.018          0          0         0         0
g2101cc5900_n283981_sec        0.2443      1.019          0          0         0         0
g2101cd3700_n284034_sec        0.2344     0.9784          0          0         0         0
g2101cf1100_n284085_sec        0.2348       0.98          0          0         0         0
g2101cg5400_n284126_sec        0.2334     0.9742          0          0         0         0
g2101ch1300_n284147_sec         0.246      1.027          0          0         0         0
g2101ci0100_n284212_sec        0.2408      1.005          0          0         0         0
g2101ci1000_n284174_sec        0.2449      1.022          0          0         0         0
g2101ci7200_n284177_sec         0.246      1.027          0          0         0         0
g2101cj2700_n284206_sec        0.2407      1.005          0          0         0         0
g2101cj4100_n284211_sec        0.2406      1.004          0          0         0         0
g2101cj7200_n284194_sec        0.2403      1.003          0          0         0         0
g2101cl1300_n284239_sec        0.2417      1.009          0          0         0         0
g2101cl5700_n284257_sec        0.2404      1.003          0          0         0         0
g2101cm7500_n284275_sec        0.2407      1.004          0          0         0         0
g2101cn2400_n284293_sec        0.2415      1.008          0          0         0         0
g2101cn3100_n284299_sec        0.2406      1.004          0          0         0         0
g2101co1900_n284311_sec        0.2359     0.9844          0          0         0         0
g2101da7200_n292541_sec        0.2827       1.02   0.001178     0.4168 0.0008487    0.3002
g2101db2500_n283939_sec        0.2424      1.011          0          0         0         0
g2101db9200_n283929_sec        0.2416      1.008          0          0         0         0
g2101dc0100_n283946_sec        0.2388     0.9968          0          0         0         0
g2101dc3900_n283999_sec         0.237     0.9892          0          0         0         0
g2101dd1900_n284035_sec        0.2428      1.013          0          0         0         0
g2101dd6700_n284032_sec        0.2428      1.013          0          0         0         0
g2101dd6900_n284041_sec        0.2373     0.9903          0          0         0         0
g2101de3600_n284078_sec        0.2362      0.986          0          0         0         0
g2101df4700_n284102_sec        0.2348     0.9799          0          0         0         0
g2101dg1700_n284117_sec        0.2347     0.9796          0          0         0         0
g2101dg9100_n292718_sec        0.2359     0.9844          0          0         0         0
g2101dh1100_n284130_sec        0.2453      1.024          0          0         0         0
g2101di0000_n284130_sec         0.246      1.027          0          0         0         0
g2101dl3400_n284236_sec        0.2417      1.009          0          0         0         0
g2101dm2100_n284273_sec        0.2419       1.01          0          0         0         0
g2101do1900_n284309_sec        0.2417      1.009          0          0         0         0
g2101do4400_n284309_sec        0.2421       1.01          0          0         0         0
g2101ea3600_n292539_sec        0.2781      1.004   0.001177     0.4231 0.0008671    0.3118
g2101eb5200_n292564_sec        0.2422      1.011          0          0         0         0
g2101ec1500_n292602_sec        0.2431      1.015          0          0         0         0
g2101ec2600_n292649_sec        0.2431      1.015          0          0         0         0
g2101ec4900_n292649_sec        0.2428      1.013          0          0         0         0
g2101ec8400_n292647_sec        0.2432      1.015          0          0         0         0
g2101ed9500_n292665_sec        0.2427      1.013          0          0         0         0
g2101ed9700_n292597_sec        0.2427      1.013          0          0         0         0
g2101ee3400_n284041_sec        0.2368     0.9882          0          0         0         0
g2101eg5500_n292730_sec        0.2357     0.9836          0          0         0         0
g2101eg7000_n292703_sec        0.2362     0.9857          0          0         0         0
g2101eh3000_n292742_sec        0.2361     0.9856          0          0         0         0
g2101eh8800_n292737_sec        0.2364     0.9867          0          0         0         0
g2101ek5100_n292797_sec        0.2433      1.015          0          0         0         0
g2101ek5700_n292808_sec         0.244      1.018          0          0         0         0
g2101el2800_n284246_sec        0.2403      1.003          0          0         0         0
g2101el5600_n292818_sec        0.2434      1.016          0          0         0         0
g2101em0500_n292824_sec        0.2437      1.017          0          0         0         0
g2101em2300_n284270_sec          0.24      1.002          0          0         0         0
g2101em5500_n292834_sec         0.243      1.014          0          0         0         0
g2101em6600_n292838_sec        0.2431      1.015          0          0         0         0
g2101en1400_n284291_sec         0.242       1.01          0          0         0         0
g2101en3000_n292846_sec        0.2405      1.004          0          0         0         0
g2101en6500_n292860_sec        0.2431      1.015          0          0         0         0
g2101eo2200_n292846_sec        0.2418      1.009          0          0         0         0
g2101eo8900_n292863_sec        0.2413      1.007          0          0         0         0
g2101fb7500_n292570_sec        0.2793      1.008   0.001179     0.4222 0.0008674    0.3105
g2101fc3500_n292616_sec        0.2421       1.01          0          0         0         0
g2101fc8400_n292612_sec        0.2443       1.02          0          0         0         0
g2101fc9500_n292618_sec        0.2431      1.015          0          0         0         0
g2101fd9100_n292643_sec        0.2431      1.015          0          0         0         0
g2101fe1400_n292665_sec        0.2415      1.008          0          0         0         0
g2101fe5900_n292670_sec        0.2442      1.019          0          0         0         0
g2101fe9500_n292666_sec        0.2826       1.02   0.001219     0.4314 0.0009177    0.3248
g2101ff6700_n292703_sec        0.2369     0.9886          0          0         0         0
g2101fg5400_n292715_sec         0.237     0.9892          0          0         0         0
g2101fh1100_n292737_sec        0.2359     0.9846          0          0         0         0
g2101fh6200_n292725_sec        0.2363     0.9864          0          0         0         0
g2101fj5700_n292783_sec        0.2418      1.009          0          0         0         0
g2101fj6800_n284227_sec        0.2414      1.008          0          0         0         0
g2101fk7100_n292792_sec        0.2416      1.008          0          0         0         0
g2101fk7600_n292809_sec        0.2437      1.017          0          0         0         0
g2101fl7200_n292813_sec        0.2426      1.012          0          0         0         0
g2101fl7900_n292821_sec        0.2427      1.013          0          0         0         0
g2101fm7500_n292827_sec        0.2429      1.014          0          0         0         0
g2101fo2000_n292860_sec        0.2407      1.005          0          0         0         0
g2101fo4700_n292875_sec         0.242       1.01          0          0         0         0
g2101ga2000_n292532_sec        0.2795      1.009   0.001078     0.3855 0.0007248    0.2593
g2101ga5600_n292545_sec        0.2804      1.012   0.001164     0.4149 0.0008462    0.3017
g2101ga6800_n292554_sec        0.2791      1.007   0.001165     0.4173 0.0008472    0.3035
g2101gb2100_n292559_sec        0.2456      1.025          0          0         0         0
g2101gb6200_n292558_sec        0.2837      1.024    0.00116     0.4089 0.0008301    0.2926
g2101gb6700_n292603_sec        0.2418      1.009          0          0         0         0
g2101gc3200_n292623_sec        0.2425      1.012          0          0         0         0
g2101gc3400_n292625_sec        0.2426      1.013          0          0         0         0
g2101gc9100_n292619_sec        0.2433      1.015          0          0         0         0
g2101gc9700_n292633_sec        0.2398      1.001          0          0         0         0
g2101gd1300_n292637_sec         0.243      1.014          0          0         0         0
g2101gd5100_n292637_sec        0.2431      1.014          0          0         0         0
g2101gd6200_n292642_sec        0.2429      1.014          0          0         0         0
g2101gd9500_n292651_sec        0.2428      1.013          0          0         0         0
g2101ge2800_n292678_sec        0.2817      1.016   0.001219     0.4328 0.0009201    0.3267
g2101ge7600_n292706_sec        0.2809      1.014   0.001228     0.4372 0.0009376    0.3337
g2101ge9900_n292679_sec        0.2816      1.016   0.001219     0.4329 0.0009219    0.3274
g2101gg9700_n1406189_sec       0.2441      1.019          0          0         0         0
g2101gh4400_n292744_sec        0.2809      1.014   0.001323     0.4709  0.001032    0.3672
g2101gh4500_n292745_sec        0.2465      1.029          0          0         0         0
g2101gh5200_n292724_sec         0.278      1.003   0.001286     0.4626  0.001005    0.3617
g2101gj5200_n292778_sec        0.2436      1.017          0          0         0         0
g2101gj7800_n292798_sec        0.2437      1.017          0          0         0         0
g2101gk7600_n292811_sec        0.2439      1.018          0          0         0         0
g2101gl8800_n292877_sec        0.2451      1.023          0          0         0         0
g2101gm2300_n292831_sec        0.2414      1.008          0          0         0         0
g2101gm5200_n292882_sec        0.2459      1.026          0          0         0         0
g2101gm6600_n292872_sec         0.245      1.022          0          0         0         0
g2101gm6800_n292740_sec        0.2809      1.014   0.001322     0.4706  0.001012    0.3601
g2101gm7400_n292866_sec        0.2454      1.024          0          0         0         0
g2101gm7700_n292843_sec        0.2435      1.016          0          0         0         0
g2101gn0600_n292858_sec        0.2417      1.009          0          0         0         0
g2101gn1100_n292849_sec        0.2418      1.009          0          0         0         0
g2101gn5000_n292870_sec        0.2435      1.016          0          0         0         0
g2101ha1300_n292535_sec        0.2833      1.022   0.001127     0.3977 0.0007847     0.277
g2101ha1800_n292557_sec        0.2466      1.029          0          0         0         0
g2101ha2400_n292547_sec        0.2818      1.017   0.001114     0.3952 0.0007689    0.2729
g2101ha7500_n292550_sec        0.2468       1.03          0          0         0         0
g2101hb3400_n292556_sec        0.2441      1.019          0          0         0         0
g2101hb6800_n292600_sec        0.2426      1.012          0          0         0         0
g2101hb7500_n292585_sec        0.2426      1.012          0          0         0         0
g2101hb3500_n292585_sec        0.2415      1.008          0          0         0         0
g2101hb3800_n292598_sec        0.2414      1.008          0          0         0         0
g2101hc2500_n292626_sec        0.2425      1.012          0          0         0         0
g2101hd1100_n292645_sec        0.2429      1.014          0          0         0         0
g2101hd2500_n292652_sec        0.2427      1.013          0          0         0         0
g2101hd2900_n292658_sec        0.2425      1.012          0          0         0         0
g2101hd3500_n292652_sec        0.2407      1.005          0          0         0         0
g2101he9900_n292684_sec        0.2825      1.019   0.001219     0.4315 0.0009179    0.3249
g2101hg3400_n1406188_sec       0.2434      1.016          0          0         0         0
g2101hi2400_n292772_sec        0.2446      1.021          0          0         0         0
g2101hi9300_n292770_sec        0.2461      1.027          0          0         0         0
g2101hj1200_n292801_sec        0.2435      1.016          0          0         0         0
g2101hj2800_n292786_sec        0.2437      1.017          0          0         0         0
g2101hj5200_n292788_sec        0.2436      1.017          0          0         0         0
g2101hj9800_n292805_sec         0.245      1.022          0          0         0         0
g2101hk4700_n292855_sec        0.2451      1.023          0          0         0         0
g2101hk5000_n292837_sec        0.2447      1.021          0          0         0         0
g2101hl1900_n292852_sec        0.2461      1.027          0          0         0         0
g2101hl2300_n292867_sec        0.2456      1.025          0          0         0         0
g2101hl5500_n292841_sec        0.2455      1.025          0          0         0         0
g2101hl9000_n292832_sec        0.2453      1.024          0          0         0         0
g2101hn5200_n292851_sec        0.2426      1.013          0          0         0         0
g2101ia3300_n292540_sec        0.2819      1.017    0.00114     0.4043 0.0008059    0.2859
g2101ia8100_n292540_sec_a       0.246      1.027          0          0         0         0
g2101ii1800_n292774_sec        0.2457      1.025          0          0         0         0
g2101ii8600_n292779_sec        0.2447      1.021          0          0         0         0
g2101ij4900_n292825_sec        0.2444       1.02          0          0         0         0
g2101ij8600_n292802_sec        0.2451      1.023          0          0         0         0
g2101ik4600_n300997_sec        0.2447      1.021          0          0         0         0
g2101ja6700_n1321243_sec       0.2817      1.016   0.001146     0.4068  0.000816    0.2897
g2101ja8400_n300634_sec        0.2437      1.017          0          0         0         0
g2101je7500_n300801_sec        0.2413      1.007          0          0         0         0
g2101jf1200_n292702_sec        0.2404      1.003          0          0         0         0
g2101jf1900_n292709_sec        0.2425      1.012          0          0         0         0
g2101jf8800_n300850_sec        0.2417      1.009          0          0         0         0
g2101jg1900_n292717_sec        0.2424      1.011          0          0         0         0
g2101jg9800_n300850_sec        0.2416      1.008          0          0         0         0
g2101jh1600_n292721_sec        0.2428      1.013          0          0         0         0
g2101ji2900_n292790_sec        0.2452      1.023          0          0         0         0
g2101jj0800_n292819_sec        0.2454      1.024          0          0         0         0
g2101jj4900_n292802_sec        0.2457      1.026          0          0         0         0
g2101jk1400_n300995_sec        0.2445       1.02          0          0         0         0
g2101jn9300_n301049_sec        0.2449      1.022          0          0         0         0
g2101ka0900_n300672_sec         0.243      1.014          0          0         0         0
g2101ka2300_n300631_sec        0.2427      1.013          0          0         0         0
g2101ka3900_n300679_sec        0.2432      1.015          0          0         0         0
g2101ka6200_n300623_sec        0.2433      1.015          0          0         0         0
g2101ka6800_n300662_sec        0.2442      1.019          0          0         0         0
g2101ka7500_n300643_sec        0.2443      1.019          0          0         0         0
g2101ka8300_n300629_sec        0.2443       1.02          0          0         0         0
g2101kb0200_n300705_sec        0.2434      1.016          0          0         0         0
g2101kb6100_n300696_sec        0.2442      1.019          0          0         0         0
g2101ke3900_n300817_sec        0.2422      1.011          0          0         0         0
g2101kf1100_n300827_sec        0.2421      1.011          0          0         0         0
g2101kn9300_n301056_sec        0.2447      1.021          0          0         0         0
g2101ko9100_n301061_sec        0.2456      1.025          0          0         0         0
g2101la3600_n300650_sec        0.2442      1.019          0          0         0         0
g2101la6700_n300658_sec        0.2443      1.019          0          0         0         0
g2101lb0200_n300696_sec        0.2443      1.019          0          0         0         0
g2101lb3300_n300707_sec        0.2442      1.019          0          0         0         0
g2101lb4400_n300709_sec        0.2443      1.019          0          0         0         0
g2101lb6300_n300708_sec        0.2443      1.019          0          0         0         0
g2101ln4600_n301060_sec        0.2461      1.027          0          0         0         0
g2101oa1800_n300620_sec        0.2453      1.024          0          0         0         0
g2101oa2300_n300690_sec        0.2452      1.023          0          0         0         0
g2101oa5500_n300636_sec        0.2437      1.017          0          0         0         0
g2101oa5600_n300661_sec        0.2426      1.013          0          0         0         0
g2101ob2900_n300670_sec        0.2447      1.021          0          0         0         0
g2101ob6500_n300721_sec        0.2451      1.023          0          0         0         0
g2101ob6900_n300737_sec        0.2459      1.026          0          0         0         0
g2101oc6200_n300746_sec        0.2455      1.025          0          0         0         0
g2101op2300_n300646_sec        0.2398      1.001          0          0         0         0
g2101pa3400_n300633_sec         0.243      1.014          0          0         0         0
g2101pb2500_n300719_sec        0.2452      1.023          0          0         0         0
g2101pb3000_n300676_sec        0.2429      1.014          0          0         0         0
g2101pb5100_n300681_sec        0.2425      1.012          0          0         0         0
g2101pb7100_n300674_sec        0.2421       1.01          0          0         0         0
g2101pb7500_n300717_sec        0.2455      1.025          0          0         0         0
g2101pc1800_n300764_sec        0.2462      1.028          0          0         0         0
g2101pc3200_n300744_sec        0.2452      1.023          0          0         0         0
g2101pc7200_n300740_sec         0.246      1.027          0          0         0         0
g2101pc8800_n300762_sec        0.2452      1.023          0          0         0         0
g2101qa0800_n300664_sec        0.2434      1.016          0          0         0         0
g2101qa2300_n300614_sec        0.2418      1.009          0          0         0         0
g2101qb0400_n300714_sec        0.2454      1.024          0          0         0         0
g2101qb2900_n300678_sec        0.2416      1.008          0          0         0         0
g2101qb4300_n300711_sec        0.2457      1.026          0          0         0         0
g2101qc1100_n300736_sec        0.2455      1.025          0          0         0         0
g2101qc3700_n300767_sec         0.246      1.027          0          0         0         0
g2101qc6000_n300736_sec        0.2453      1.024          0          0         0         0
g2101qc7600_n300750_sec        0.2455      1.025          0          0         0         0
g2101ra0900_n300678_sec        0.2408      1.005          0          0         0         0
g2101ra5400_n300653_sec        0.2379     0.9931          0          0         0         0
g2101ra8200_n312510_sec        0.2434      1.016          0          0         0         0
g2101rb6300_n312566_sec        0.2397          1          0          0         0         0
g2101rc6500_n312606_sec        0.2407      1.004          0          0         0         0
g2101sa6800_n312536_sec        0.2371     0.9895          0          0         0         0
g2101sb1800_n312602_sec        0.2398      1.001          0          0         0         0
g2101sb2000_n312551_sec        0.2424      1.012          0          0         0         0
g2101sb6500_n312568_sec        0.2403      1.003          0          0         0         0
g2101sc5300_n312606_sec        0.2397          1          0          0         0         0
g2101ta3200_n312486_sec        0.2393     0.9987          0          0         0         0
g2101tb0900_n312595_sec        0.2408      1.005          0          0         0         0
g2101tb9300_n312558_sec         0.239     0.9975          0          0         0         0
g2101tc2600_n312625_sec        0.2386      0.996          0          0         0         0
g2101tc2601_n312625_sec        0.2415      1.008          0          0         0         0
g2101ub2800_n312558_sec        0.2385     0.9952          0          0         0         0
g2102aa5600_n284324_sec        0.2403      1.003          0          0         0         0
g2102aa7100_n284314_sec        0.2377     0.9923          0          0         0         0
g2102ab5500_n1413715_sec       0.2413      1.007          0          0         0         0
g2102ac6800_n284336_sec        0.2399      1.001          0          0         0         0
g2102ac8400_n284339_sec        0.2384     0.9952          0          0         0         0
g2102ad5000_n284351_sec        0.2396          1          0          0         0         0
g2102ad8800_n284346_sec        0.2407      1.005          0          0         0         0
g2102ae4600_n284351_sec        0.2399      1.001          0          0         0         0
g2102ae9300_n284358_sec        0.2404      1.003          0          0         0         0
g2102af7100_n284372_sec        0.2402      1.002          0          0         0         0
g2102af8900_n284414_sec        0.2404      1.004          0          0         0         0
g2102ag6500_n284433_sec        0.2392     0.9984          0          0         0         0
g2102ag7900_n284433_sec        0.2407      1.005          0          0         0         0
g2102bb1100_n284327_sec        0.2398      1.001          0          0         0         0
g2102bb3500_n284331_sec        0.2408      1.005          0          0         0         0
g2102bb6900_n284334_sec        0.2406      1.004          0          0         0         0
g2102bc7600_n284348_sec        0.2388     0.9967          0          0         0         0
g2102bc8300_n284337_sec        0.2414      1.007          0          0         0         0
g2102bd3700_n284339_sec        0.2409      1.005          0          0         0         0
g2102bf5100_n284387_sec        0.2405      1.004          0          0         0         0
g2102cb4400_n284326_sec        0.2409      1.006          0          0         0         0
g2102cb6400_n284349_sec        0.2413      1.007          0          0         0         0
g2102cb9700_n284330_sec        0.2406      1.004          0          0         0         0
g2102cc0600_n284343_sec        0.2357     0.9836          0          0         0         0
g2102cf1500_n284387_sec        0.2408      1.005          0          0         0         0
g2102cf4600_n284377_sec        0.2396     0.9999          0          0         0         0
g2102cg5800_n284428_sec        0.2411      1.006          0          0         0         0
g2102da2700_n284323_sec        0.2404      1.003          0          0         0         0
g2102da9200_n284319_sec        0.2405      1.004          0          0         0         0
g2102dd1700_n284353_sec        0.2407      1.005          0          0         0         0
g2102dd3500_n284350_sec          0.24      1.002          0          0         0         0
g2102de7300_n284356_sec        0.2393     0.9987          0          0         0         0
g2102df2900_n284396_sec        0.2404      1.003          0          0         0         0
g2102df8900_n284398_sec        0.2406      1.004          0          0         0         0
g2102dg8300_n284426_sec        0.2408      1.005          0          0         0         0
g2102dg9500_n284426_sec        0.2411      1.006          0          0         0         0
g2102ea4000_n284317_sec        0.2409      1.005          0          0         0         0
g2102eg8500_n292979_sec        0.2403      1.003          0          0         0         0
g2102fa2400_n292892_sec        0.2404      1.003          0          0         0         0
g2102ff3700_n284394_sec        0.2402      1.003          0          0         0         0
g2000rn2800_n274196_sec_1      0.2406      1.004          0          0         0         0
g2000rn2800_n274196_sec_2      0.2404      1.003          0          0         0         0
g2000rn2800_n274196_sec_3      0.2406      1.004          0          0         0         0
g2000rn2800_n274196_sec_4      0.2406      1.004          0          0         0         0
g2000ro4500_n274220_sec_1      0.2407      1.005          0          0         0         0
g2000ro4500_n274220_sec_2      0.2403      1.003          0          0         0         0
g2000ro4500_n274220_sec_3      0.2404      1.004          0          0         0         0
g2000sk5500_n274137_sec_1      0.2439      1.018          0          0         0         0
g2000sk5500_n274137_sec_2      0.2435      1.016          0          0         0         0
g2000sk5500_n274137_sec_3      0.2439      1.018          0          0         0         0
g2000sk5500_n274137_sec_4      0.2438      1.017          0          0         0         0
g2000sk5500_n274137_sec_5      0.2439      1.018          0          0         0         0
g2000sk5500_n274137_sec_6      0.2436      1.017          0          0         0         0
g2000sk5500_n274137_sec_7      0.2437      1.017          0          0         0         0
g2000sk5500_n274137_sec_8      0.2438      1.018          0          0         0         0
g2000sk7800_n274150_sec_1      0.2451      1.023          0          0         0         0
g2000sk7800_n274150_sec_2      0.2451      1.023          0          0         0         0
g2000sk7800_n274150_sec_3      0.2452      1.023          0          0         0         0
g2000sk7800_n274150_sec_4      0.2452      1.023          0          0         0         0
g2000sk7800_n274150_sec_5      0.2446      1.021          0          0         0         0
g2000sn2500_n274191_sec_1      0.2419      1.009          0          0         0         0
g2000sn2500_n274191_sec_2      0.2416      1.009          0          0         0         0
g2000sn2500_n274191_sec_3      0.2414      1.007          0          0         0         0
g2000sn2500_n274191_sec_4      0.2415      1.008          0          0         0         0
g2000sn2500_n274191_sec_5      0.2415      1.008          0          0         0         0
g2000sn8400_n274183_sec_1      0.2406      1.004          0          0         0         0
g2000sn8400_n274183_sec_2      0.2407      1.005          0          0         0         0
g2000sn8800_n274200_sec_1      0.2405      1.004          0          0         0         0
g2000sn8800_n274200_sec_2      0.2405      1.004          0          0         0         0
g2000sn8800_n274200_sec_3      0.2405      1.004          0          0         0         0
g2000so1800_n274227_sec_1      0.2409      1.006          0          0         0         0
g2000so1800_n274227_sec_2       0.241      1.006          0          0         0         0
g2000so1800_n274227_sec_3      0.2409      1.005          0          0         0         0
g2000so1800_n274227_sec_4      0.2409      1.006          0          0         0         0
g2000so2200_n274207_sec_1      0.2407      1.005          0          0         0         0
g2000so2200_n274207_sec_2      0.2407      1.005          0          0         0         0
g2000so2200_n274207_sec_3      0.2404      1.003          0          0         0         0
g2000so2200_n274207_sec_4      0.2407      1.004          0          0         0         0
g2000so2200_n274207_sec_5      0.2407      1.005          0          0         0         0
g2000so9400_n274214_sec_1      0.2397          1          0          0         0         0
g2000so9400_n274214_sec_2      0.2396          1          0          0         0         0
g2000so9400_n274214_sec_3      0.2396     0.9998          0          0         0         0
g2000so9800_n274224_sec_1      0.2392     0.9985          0          0         0         0
g2000so9800_n274224_sec_2      0.2393     0.9989          0          0         0         0
g2000so9800_n274224_sec_3      0.2396     0.9999          0          0         0         0
g2000so9800_n274224_sec_4      0.2392     0.9981          0          0         0         0
g2000tj2700_n274103_sec_1      0.2473      1.032          0          0         0         0
g2000tj2700_n274103_sec_2      0.2477      1.034          0          0         0         0
g2000tj2700_n274103_sec_3      0.2476      1.033          0          0         0         0
g2000tj2700_n274103_sec_4      0.2474      1.033          0          0         0         0
g2000tl1200_n283789_sec_1      0.2457      1.025          0          0         0         0
g2000tl1200_n283789_sec_2      0.2458      1.026          0          0         0         0
g2000tl1200_n283789_sec_3      0.2457      1.026          0          0         0         0
g2000tl1200_n283789_sec_4      0.2458      1.026          0          0         0         0
g2000tl1200_n283789_sec_5      0.2459      1.026          0          0         0         0
g2000tl1200_n283789_sec_6      0.2458      1.026          0          0         0         0
g2000tl5600_n283806_sec_1      0.2458      1.026          0          0         0         0
g2000tl5600_n283806_sec_2      0.2458      1.026          0          0         0         0
g2000tl5600_n283806_sec_3      0.2457      1.026          0          0         0         0
g2000tl5600_n283806_sec_4      0.2456      1.025          0          0         0         0
g2000tn4400_n283873_sec_1      0.2413      1.007          0          0         0         0
g2000tn4400_n283873_sec_2      0.2406      1.004          0          0         0         0
g2000tn4400_n283873_sec_3      0.2409      1.006          0          0         0         0
g2000tn4400_n283873_sec_4      0.2412      1.007          0          0         0         0
g2000tn4400_n283873_sec_5      0.2407      1.005          0          0         0         0
g2000uh9400_n283633_sec_1      0.2473      1.032          0          0         0         0
g2000uh9400_n283633_sec_2      0.2473      1.032          0          0         0         0
g2000uh9400_n283633_sec_3      0.2474      1.032          0          0         0         0
g2000uh9800_n283647_sec_1      0.2481      1.036          0          0         0         0
g2000uh9800_n283647_sec_2      0.2481      1.036          0          0         0         0
g2000ui3100_n283702_sec_1      0.2479      1.034          0          0         0         0
g2000ui3100_n283702_sec_2      0.2479      1.035          0          0         0         0
g2000ui3100_n283702_sec_3      0.2479      1.035          0          0         0         0
g2000ui3100_n283702_sec_4      0.2479      1.035          0          0         0         0
g2000ui5400_n283699_sec_1      0.2473      1.032          0          0         0         0
g2000ui5400_n283699_sec_2       0.247      1.031          0          0         0         0
g2000ui5400_n283699_sec_3      0.2473      1.032          0          0         0         0
g2000ui5400_n283699_sec_4      0.2472      1.032          0          0         0         0
g2000ui5400_n283699_sec_5      0.2473      1.032          0          0         0         0
g2000ui5400_n283699_sec_6      0.2473      1.032          0          0         0         0
g2000ui6400_n283679_sec_1       0.248      1.035          0          0         0         0
g2000ui6400_n283679_sec_2       0.248      1.035          0          0         0         0
g2000ui6400_n283679_sec_3      0.2481      1.035          0          0         0         0
g2000ui6400_n283679_sec_4       0.248      1.035          0          0         0         0
g2000uj0800_n283722_sec_1      0.2478      1.034          0          0         0         0
g2000uj0800_n283722_sec_2       0.248      1.035          0          0         0         0
g2000uj0800_n283722_sec_3      0.2478      1.034          0          0         0         0
g2000uj3600_n283731_sec_1      0.2456      1.025          0          0         0         0
g2000uj3600_n283731_sec_2      0.2455      1.024          0          0         0         0
g2000uj3600_n283731_sec_3      0.2451      1.023          0          0         0         0
g2000uj3600_n283731_sec_4      0.2456      1.025          0          0         0         0
g2000uj3600_n283731_sec_5      0.2456      1.025          0          0         0         0
g2000uj3600_n283731_sec_6      0.2454      1.024          0          0         0         0
g2000uj6500_n283747_sec_1      0.2451      1.023          0          0         0         0
g2000uj6500_n283747_sec_2      0.2448      1.022          0          0         0         0
